Time,aMag,gMag,ang,bpm,but
335626,1.0050373127401788,0.7217340230306453,264.250957109195,88.11,0
336768,1.0050373127401788,0.7217340230306453,264.250957109195,83.22,0
337909,1.0050373127401788,0.7340980860893183,264.250957109195,69.69,0
339051,1.0050373127401788,0.7142128534267639,264.250957109195,93.6,0
340192,1.0050373127401788,0.7217340230306453,264.250957109195,76.82,0
341394,1.0050373127401788,0.768439978137525,264.250957109195,80.97,0
342535,1.0050373127401788,0.6797793759742936,264.250957109195,83.22,0
343677,1.0050373127401788,0.7340980860893183,264.250957109195,83.22,0
344818,1.0050373127401788,0.7217340230306453,264.250957109195,80.97,0
345960,1.0050373127401788,0.7217340230306453,264.250957109195,80.97,0
347102,1.0050373127401788,0.7217340230306453,264.250957109195,80.97,0
348243,1.0050373127401788,0.6472248450113762,264.250957109195,80.97,0
349365,1.0050373127401788,0.6664082832618454,264.250957109195,83.22,0
350506,1.0050373127401788,0.7142128534267639,264.250957109195,85.59,0
351648,1.0050373127401788,0.7217340230306453,264.250957109195,83.22,0
352789,1.0050373127401788,0.7217340230306453,264.250957109195,80.97,0
353931,1.0050373127401788,0.7217340230306453,264.250957109195,80.97,0
355073,1.0050373127401788,0.7167286794875729,264.250957109195,80.97,0
356214,1.0050373127401788,0.7040596565632774,264.250957109195,41.04,0
357356,1.0050373127401788,0.6472248450113762,264.250957109195,76.82,0
358497,1.0050373127401788,0.7217340230306453,264.250957109195,78.84,0
359639,1.0050373127401788,0.6664082832618454,264.250957109195,80.97,0
360840,1.0050373127401788,0.7217340230306453,264.250957109195,88.11,0
361982,1.0040916292848974,0.7613803254615921,264.2684187877412,83.22,0
363124,1.0050373127401788,0.6664082832618454,264.250957109195,85.59,0
364266,1.0050373127401788,0.7340980860893183,264.250957109195,80.97,0
365446,1.0050373127401788,0.6664082832618454,264.250957109195,74.91,0
366588,1.0050373127401788,0.7340980860893183,264.250957109195,68.1,0
367729,1.0050373127401788,0.7217340230306453,264.250957109195,71.34,0
368871,1.0050373127401788,0.7340980860893183,264.250957109195,73.08,0
370012,1.0050373127401788,0.7167286794875729,264.250957109195,80.97,0
371214,1.0050373127401788,0.7142128534267639,264.250957109195,83.22,0
372415,1.0050373127401788,0.7040596565632774,264.250957109195,83.22,0
373617,1.0050373127401788,0.6664082832618454,264.250957109195,83.22,0
374819,1.0050373127401788,0.7075309180523491,264.250957109195,88.11,0
375960,1.0050373127401788,0.7862569554541314,264.250957109195,90.77,0
377102,1.0050373127401788,0.6664082832618454,264.250957109195,85.59,0
378224,1.0050373127401788,0.7217340230306453,264.250957109195,83.22,0
379386,1.0050373127401788,0.6664082832618454,264.250957109195,83.22,0
380507,1.0050373127401788,0.7340980860893183,264.250957109195,85.59,0
381648,1.0050373127401788,0.7479304780526063,264.250957109195,83.22,0
382790,1.0050373127401788,0.7167286794875729,264.250957109195,85.59,0
383932,1.0050373127401788,0.7340980860893183,264.250957109195,83.22,0
385073,1.0050373127401788,0.7217340230306453,264.250957109195,85.59,0
386215,1.0050373127401788,0.7040596565632774,264.250957109195,83.22,0
387356,1.0050373127401788,0.7217340230306453,264.250957109195,73.08,0
388498,1.0050373127401788,0.6472248450113762,264.250957109195,73.08,0
389639,1.0050373127401788,0.7217340230306453,264.250957109195,88.11,0
390781,1.0050373127401788,0.7167286794875729,264.250957109195,80.97,0
391983,1.006081507632458,0.6664082832618454,264.2316762522497,85.59,0
393184,1.0050373127401788,0.7217340230306453,264.250957109195,88.11,0
394326,1.0050373127401788,0.7217340230306453,264.250957109195,83.22,0
395528,1.0050373127401788,0.7340980860893183,264.250957109195,80.97,0
396669,1.0050373127401788,0.6582552696332935,264.250957109195,80.97,0
397811,1.0050373127401788,0.7217340230306453,264.250957109195,85.59,0
398952,1.0050373127401788,0.7479304780526063,264.250957109195,80.97,0
400094,1.0050373127401788,0.7217340230306453,264.250957109195,88.11,0
401216,1.0050373127401788,0.7217340230306453,264.250957109195,85.59,0
402417,1.0050373127401788,0.7167286794875729,264.250957109195,83.22,0
403559,1.0050373127401788,0.7217340230306453,264.250957109195,85.59,0
404700,1.0050373127401788,0.7040596565632774,264.250957109195,83.22,0
405842,1.0050373127401788,0.7040596565632774,264.250957109195,83.22,0
406964,1.0050373127401788,0.7406753674856482,264.250957109195,83.22,0
408105,1.0050373127401788,0.7340980860893183,264.250957109195,80.97,0
409307,1.0050373127401788,0.7217340230306453,264.250957109195,83.22,0
410449,1.0050373127401788,0.6664082832618454,264.250957109195,83.22,0
411590,1.0050373127401788,0.7142128534267639,264.250957109195,85.59,0
412732,1.0050373127401788,0.6963476143421474,264.250957109195,85.59,0
413873,1.0050373127401788,0.7217340230306453,264.250957109195,80.97,0
415015,1.0050373127401788,0.6582552696332935,264.250957109195,39.95,0
416156,1.0050373127401788,0.802122185206219,264.250957109195,41.61,0
417298,1.0050373127401788,0.6664082832618454,264.250957109195,90.77,0
418440,1.0050373127401788,0.6963476143421474,264.250957109195,88.11,0
419581,1.0050373127401788,0.7217340230306453,264.250957109195,80.97,0
420723,1.0050373127401788,0.6664082832618454,264.250957109195,85.59,0
421845,1.0050373127401788,0.7479304780526063,264.250957109195,83.22,0
422986,1.0050373127401788,0.7040596565632774,264.250957109195,93.6,0
424188,1.0050373127401788,0.7217340230306453,264.250957109195,85.59,0
425390,1.0050373127401788,0.7217340230306453,264.250957109195,88.11,0
426531,1.0050373127401788,0.7040596565632774,264.250957109195,85.59,0
427673,1.0050373127401788,0.7040596565632774,264.250957109195,85.59,0
428875,1.0050373127401788,0.7217340230306453,264.250957109195,90.77,0
430016,1.0050373127401788,0.7217340230306453,264.250957109195,85.59,0
431158,1.0050373127401788,0.6664082832618454,264.250957109195,83.22,0
432359,1.0050373127401788,0.7217340230306453,264.250957109195,80.97,0
433501,1.0050373127401788,0.7040596565632774,264.250957109195,83.22,0
434643,1.0050373127401788,0.6664082832618454,264.250957109195,83.22,0
435844,1.0050373127401788,0.7217340230306453,264.250957109195,85.59,0
436986,1.0050373127401788,0.7217340230306453,264.250957109195,83.22,0
438188,1.0050373127401788,0.7217340230306453,264.250957109195,80.97,0
439389,1.0050373127401788,0.7217340230306453,264.250957109195,83.22,0
440591,1.0050373127401788,0.6664082832618454,264.250957109195,85.59,0
441732,1.0050373127401788,0.7217340230306453,264.250957109195,78.84,0
442874,1.0050373127401788,0.6472248450113762,264.250957109195,80.97,0
443995,1.0050373127401788,0.7217340230306453,264.250957109195,83.22,0
445137,1.0050373127401788,0.7167286794875729,264.250957109195,78.84,0
446279,1.0050373127401788,0.7217340230306453,264.250957109195,85.59,0
447420,1.0050373127401788,0.7598684096605149,264.250957109195,80.97,0
448682,1.0050373127401788,0.7217340230306453,264.250957109195,83.22,0
449883,1.0050373127401788,0.7217340230306453,264.250957109195,78.84,0
451005,1.0050373127401788,0.6664082832618454,264.250957109195,80.97,0
452146,1.0050373127401788,0.7167286794875729,264.250957109195,78.84,0
453408,1.0050373127401788,0.7217340230306453,264.250957109195,85.59,0
454610,1.0050373127401788,0.7217340230306453,264.250957109195,83.22,0
455811,1.0050373127401788,0.7340980860893183,264.250957109195,80.97,0
457013,1.0050373127401788,0.7217340230306453,264.250957109195,78.84,0
